CS105,Computer Literacy,3,N/A,Fall/Spring/Summer,Verts
CS119,Introduction to Programming,3,N/A,Fall/Spring,Verts
CS120,Introduction to Problem Solving with the Internet,3,N/A,Fall/Summer,Verts
CS121,Introduction to Problem Solving with Computers,4,N/A,Spring/Summer,Anderson
CS145,Representing Storing and Retrieving Information,3,N/A,Spring,Verts
CS187,Programming with Data Structures,4,121,Fall/Spring/Summer,Liberatore
CS197B,Advanced Assignments for CMPSCI 121,3,121,Spring,Anderson
CS197C,Programming in C,1,121 187,Spring,Scarrci
CS197U,A Hands on Introduction to Unix,1,N/A,Spring,DeVaughn-Brown
CS197WP,Introduction to HTML/CSS,3,121,Spring,Scarrci
CS220,Programming Methodology,4,187,Fall/Spring,Richards
CS230,Computer System Principles,4,187,Fall/Spring,Richards
CS240,Reasoning Under Uncertainty,4,187 MATH 132,Fall/Spring,McGregor
CS250,Introduction to Computation,4,187 MATH 132,Fall/Spring,Barrington
CS305,Social Issues in Computing,3,ENGLWRIT 112,Fall/Spring,Trim
CS311,Introduction to Algorithms,4,250,Fall/Spring,Sitaraman
CS320,Introduction to Software Engineering,4,220,Fall/Spring,Brun
CS326,Web Programming,3,187,Fall/Spring,Richards
CS345,Practice and Applications of Data Management,3,187,Fall,Meliou
CS348,Introduction to Knowledge Discovery,3,187 240 250,Spring,Jensen
CS365,Digital Forensics,3,220 230,Spring,Levine
CS377,Operating Systems,4,230,Fall/Spring,Ganesan
CS383,Artificial Intelligence,3,220 230 240,Fall/Spring,Siegelmann
CS390MB,Mobile Health Sensing and Monitoring,3,187,Fall,Ganesan
CS390CG,Introduction to Computer Graphics,3,187 240,Spring,Wang
CS391IB,Seminar - Inside the Box: How Computers Really Work,3,145,Fall,Weems
CS391LI,Seminar - Computer Crime Law and the Technologies of Investigation and Privacy,3,145,Fall,Levine
CS397G,Creative Game Design and Development,3,N/A,Spring,Smith
CS397J,Introductory JavaScript Game Development,3,326,Spring,Tincknell
CS403,Introduction to Robotics,3,187 230,Fall,Grupen
CS445,Information Systems,3,220 230 311,Spring,Diao
CS446,Search Engines,3,240 383,Spring,Allan
CS453,Computer Networks,3,230 377,Fall/Spring,Venkataramani
CS491IP,Seminar - Programming the iPhone and iPad,3,187 220,Fall,Weems
CS491G,Computer Networking Lab,3,453,Spring,Venkataramani
CS501,Formal Languate Theory,3,311,Spring,Barrington
CS520,Software Engineering: Synthesis and Development,3,230 320,Spring,Bendraou
CS521,Software Engineering: Analysis and Evaluation,3,230 320,Fall,Brun
CS529,Software Engineering: Project Management,3,320,Fall/Spring,Brun
CS575,Combinatorics and Graph Theory,3,250 311,Fall,Moll
CS585,Introduction to Natural Language Processing,3,250 383,Fall,Connor
CS589,Machine Learning,3,383,Fall/Spring,Marlin
CS597CR,Crypto Engineering,3,N/A,Spring,Paar
CS601,Computation Theory,3,501,Spring,Immerman
CS603,Robotics,3,N/A,Spring,Grupen
CS610,Compiler Techniques,3,187 250,Fall,Moss
CS611,Advanced Algorithms,3,311,Fall,Sitaraman
CS620,Advanced Software Engineering Synthesis and Development,3,N/A,Spring,Bendraou
CS621,Advanced Software Engineering: Analysis and Evaluation,3,320 520,Fall,Brun
CS630,Systems,3,230,Fall,Berger
CS645,Database Design and Implementation,3,N/A,Spring,Meliou
CS646,Information Retrieval,3,N/A,Fall,Allan
CS650,Applied Information Theory,3,501,Fall,Learned-Miller
CS653,Computer Networking,3,230 326,Fall,Kurose
CS660,Advanced Information Assurance,3,460 466,Spring,Houmansadr
CS670,Computer Vision,3,N/A,Fall,Maji
CS677,Operating Systems,3,377,Spring,Shenoy
CS683,Artificial Intelligence,3,383,Fall,Zilberstein
CS688,Probabilistic Graphical Models,3,N/A,Spring,Sheldon
CS689,Machine Learning,3,N/A,Fall/Spring,Maji
CS690AA,Approximation Algorithms and Combinational Optimization,3,N/A,Spring,Saha
CS690IV,Intelligent Visual Computing,3,N/A,Fall,Kalogerakis
CS690PE,Performance Evaluation,3,N/A,Fall,Towsley
CS691O,Seminar - Tools for Explanatory and Tutoring Systems,3,N/A,Fall,Woolf
CS691PT,Seminar - Hot Topics in Privacy Enhancing Technologies,3,N/A,Fall,Houmansadr
CS691DA,Big Data Algorithms and Applications,3,N/A,Spring,Saha
CS691DD,Research Methods in Empirical Compuer Science,3,N/A,Spring,Berger
