Course Number,Course Name,Prerequisites,Term,Instructor,
CS187,Programming with Data Structures,CS121,S15,Liberatore,
CS187,Programming with Data Structures,CS121,S15,Ridgway,
CS197B,Advanced Assignments for CMPSCI 121,CS121,S15,Anderson,
CS197WP,Introduction to HTML/CSS,CS121,S15,Scarrci,
CS220,Programming Methodology,CS187,S15,Richards,
CS230,Computer System Principles,CS187,S15,Richards,
CS230,Computer System Principles,CS187,S15,Moss,
CS326,Web Programming,CS187,S15,Richards,
CS320,Introduction to Software Engineering,CS220,S15,Brun,
CS320,Introduction to Software Engineering,CS220,S15,Anderson,
CS377,Operating Systems,CS230,S15,Ganesan,
CS520,Software Engineering Synthesis and Development,CS230,S15,Bendraou,
CS311,Introduction to Algorithms,CS250,S15,Sitaraman,
CS501,Formal Languate Theory,CS311,S15,Barrington,
CS529,Software Engineering Project Management,CS320,S15,Brun,
CS529,Software Engineering Project Management,CS320,S15,Anderson,
CS397J,Introductory JavaScript Game Development,CS326,S15,Tincknell,
CS589,Machine Learning,CS383,S15,Marlin,
CS491G,Computer Networking Lab,CS453,S15,Venkataramani,
CS601,Computation Theory,CS501,S15,Immerman,
CS197C,Programming in C,CS121,S15,Scarrci,
CS197C,Programming in C,CS187,S15,Scarrci,
CS250,Introduction to Computation,CS187,S15,Barrington,
CS250,Introduction to Computation,MATH132,S15,Barrington,
CS390CG,Introduction to Computer Graphics,CS187,S15,Wang,
CS390CG,Introduction to Computer Graphics,CS240,S15,Wang,
CS390CG,Introduction to Computer Graphics,CS190DM,S15,Wang,
CS348,Introduction to Knowledge Discovery,CS187,S15,Jensen,
CS348,Introduction to Knowledge Discovery,CS250,S15,Jensen,
CS348,Introduction to Knowledge Discovery,CS240,S15,Jensen,
CS240,Reasoning Under Uncertainty,CS187,S15,McGregor,
CS240,Reasoning Under Uncertainty,MATH132,S15,McGregor,
CS383,Artificial intelligence,CS220,S15,Siegelmann,
CS383,Artificial intelligence,CS240,S15,Siegelmann,
CS383,Artificial intelligence,CS230,S15,Siegelmann,
CS445,Information Systems,CS220,S15,Diao,
CS445,Information Systems,CS311,S15,Diao,
CS445,Information Systems,CS230,S15,Diao,
CS365,Digital Forensics,CS220,S15,Levine,
CS365,Digital Forensics,CS230,S15,Levine,
CS453,Computer Networks,CS230,S15,STAFF,
CS453,Computer Networks,CS377,S15,STAFF,
CS446,Search Engines,CS240,S15,Allan,
CS446,Search Engines,CS383,S15,Allan,
CS660,Advanced Information Assurance,CS460,S15,Houmansadr,
CS660,Advanced Information Assurance,CS466,S15,Houmansadr,
CS305,Social Issues in Computing,ENGL112,S15,Trim,
CS105,Computer Literacy,NA,S15,Verts,
CS119,Introduction to Programming,NA,S15,Verts,
CS121,Introduction to Problem Solving with Computers,NA,S15,Anderson,
CS145,Representing Storing and Retrieving Information,NA,S15,Verts,
CS197U,A Hands on Introduction to Unix,NA,S15,DeVaughn-Brown,
CS397G,Creative Game Design and Development,NA,S15,STAFF,
CS597CR,Crypto Engineering,NA,S15,Paar,
CS603,Robotics,NA,S15,Grupen,
CS620,Advanced Software Engineering Synthesis and Development,NA,S15,Bendraou,
CS645,Database Design and Implementation,NA,S15,Meliou,
CS677,Operating Systems,NA,S15,Shenoy,
CS688,Probabilistic Graphical Models,NA,S15,Sheldon,
CS689,Machine Learning,NA,S15,Maji,
CS690AA,Approximation Algorithms and Combinational Optimization,NA,S15,Saha,
CS691DA,Big Data Algorithms and Applications,NA,S15,Saha,
CS691DD,Research Methods in Empirical Compuer Science,NA,S15,Berger,
CS701,Advanced Topics in Computer Science,NA,S15,STAFF,
CS891M,Theory of Computation,NA,S15,Immerman,
CS899,PhD Dissertation,NA,S15,STAFF,
CSH320,Honors Colloquium for CMPSCI 320,NA,S15,Brun,
CSH589,Honors Colloquium for CMPSCI 589,NA,S15,Marlin,
